Size,Time(ms),Comparisons
100,4.6144,15015
200,8.6518,30358
300,7.49383,25787
400,1.86557,10049
500,13.3943,46589
600,13.6262,48824
700,4.6734,16438
800,4.94037,18834
900,38.7596,137279
1000,6.5463,23552
1100,7.03887,25922
1200,50.1738,177658
1300,22.3362,81784
1400,52.0902,186066
1500,40.2477,143868
1600,14.047,50583
1700,16.2712,57792
1800,49.9472,179687
1900,40.6568,148778
2000,56.2227,200242
2100,53.5927,192227
2200,37.2817,131628
2300,41.8875,151772
2400,47.219,169752
2500,55.3024,198340
2600,57.5585,204173
2700,63.7618,215913
2800,63.0103,220396
2900,62.3159,223534
3000,62.98,227738
