Size,Time(ms),Comparisons
100,0.1782,6928
200,0.8087,13710
300,6.26593,21954
400,8.31983,28776
500,10.2203,37751
600,11.7597,42915
700,15.0666,53322
800,15.8783,59437
900,19.5646,66320
1000,21.2225,76347
1100,23.7094,83878
1200,25.0106,89349
1300,27.6153,98436
1400,30.7447,106079
1500,31.5586,113373
1600,33.6058,120602
1700,35.7158,128424
1800,38.0426,136120
1900,39.9963,143585
2000,43.8437,151804
2100,44.8146,160003
2200,45.9864,166855
2300,48.8169,175467
2400,50.2507,182313
2500,52.8457,190151
2600,60.2909,198216
2700,57.5921,206927
2800,60.4189,213348
2900,61.4667,221451
3000,63.9275,229352
