Size,Time(ms),Comparisons
100,4.436,15189
200,1.24677,4674
300,1.94247,7067
400,2.19137,8534
500,16.0467,58104
600,6.85593,22575
700,4.44017,16135
800,8.17227,28985
900,39.4811,138005
1000,25.0599,89845
1100,8.2261,31339
1200,18.4259,66735
1300,11.158,40168
1400,29.3281,105271
1500,50.886,179503
1600,11.6156,46978
1700,29.4027,102999
1800,36.9028,131598
1900,42.4531,150459
2000,55.8356,198449
2100,57.5557,203210
2200,38.6575,137741
2300,58.3592,207059
2400,45.7895,165249
2500,52.1324,186684
2600,60.6376,204770
2700,59.7249,216260
2800,63.7188,220261
2900,63.2941,225502
3000,63.6878,227927
