Size,Time(ms),Comparisons
100,4.8455,14896
200,9.09927,30098
300,7.74273,25518
400,2.97777,9630
500,13.7126,46000
600,14.5095,48097
700,5.02743,15398
800,6.24173,17629
900,39.5677,135982
1000,7.4184,22088
1100,7.84657,24300
1200,50.953,175969
1300,24.0189,80011
1400,53.1477,184139
1500,41.7967,141788
1600,15.0419,48680
1700,16.9725,55845
1800,52.1846,177175
1900,43.741,146097
2000,58.3035,197445
2100,54.3803,189259
2200,37.3804,128990
2300,44.2058,148913
2400,48.0268,166711
2500,56.8042,194981
2600,57.8287,200786
2700,60.6634,212418
2800,63.428,216822
2900,63.7119,219927
3000,64.8916,224105
