Size,Time(ms),Comparisons
100,2.6149,6694
200,4.60993,13442
300,6.8307,21922
400,9.41487,28688
500,11.7449,37571
600,13.0784,42675
700,15.7394,52976
800,17.7174,58993
900,19.6235,65809
1000,22.3938,75630
1100,24.5991,82989
1200,26.1447,88351
1300,28.2837,97176
1400,31.1387,104757
1500,32.8692,111883
1600,34.8677,118801
1700,37.4753,126499
1800,40.2284,133982
1900,41.6048,141099
2000,44.6179,149108
2100,45.868,157121
2200,47.7942,163698
2300,50.1998,172091
2400,52.2089,178726
2500,54.6154,186283
2600,56.8778,194110
2700,59.4647,202394
2800,60.9248,208711
2900,62.7586,216527
3000,65.4567,224105
