Size,Time(ms),Comparisons
100,4.6487,15050
200,1.45547,4391
300,2.04873,6590
400,2.74763,8005
500,16.8887,57394
600,6.8435,21787
700,4.8025,15055
800,8.77587,27878
900,39.9276,136646
1000,25.9082,88435
1100,8.95163,30057
1200,19.3454,65022
1300,12.2499,38253
1400,30.3579,103222
1500,51.3938,177300
1600,14.1976,44999
1700,30.9881,100481
1800,38.5725,128937
1900,43.9087,147649
2000,57.1278,195631
2100,57.8968,200101
2200,39.2589,134872
2300,58.3865,203700
2400,47.2352,162112
2500,53.083,183322
2600,58.7125,201179
2700,63.1323,212474
2800,71.1175,216464
2900,64.7319,221706
3000,66.1527,224105
