Size,Time(ms),Comparisons
100,1.7729,58490
200,3.29697,132194
300,3.32897,122782
400,3.1226,50990
500,5.72363,185486
600,6.3524,216116
700,4.6455,95963
800,4.89123,111432
900,17.4303,708563
1000,5.32773,110711
1100,7.1826,131301
1200,24.8941,978683
1300,13.1419,409806
1400,26.183,1018950
1500,21.4766,772722
1600,12.2191,318551
1700,13.2575,357661
1800,25.2002,923974
1900,22.799,743920
2000,26.9934,993536
2100,27.7427,955997
2200,24.8314,772979
2300,27.9485,917334
2400,31.5613,1049567
2500,34.195,1090511
2600,36.8086,1296449
2700,39.7558,1410124
2800,40.2374,1394879
2900,42.9167,1534152
3000,44.0784,1566114
