Size,Time(ms),Comparisons
100,0.936367,28499
200,2.07413,75655
300,3.47667,127823
400,5.1699,186276
500,6.50363,241827
600,7.7488,286106
700,10.2057,385734
800,11.5898,438832
900,12.6468,476089
1000,14.2984,551856
1100,17.0448,622417
1200,18.431,672365
1300,20.6851,770366
1400,22.3409,854556
1500,25.4614,932749
1600,26.143,995210
1700,27.9187,1045024
1800,29.4446,1102759
1900,30.4967,1161970
2000,31.7871,1222696
2100,34.8184,1298941
2200,36.8899,1376433
2300,39.303,1470974
2400,41.7102,1547712
2500,43.575,1632668
2600,45.8153,1723583
2700,48.4186,1820605
2800,50.4534,1890957
2900,52.7859,1981418
3000,54.3247,2069847
