Size,Time(ms),Comparisons
100,1.46437,52867
200,0.986167,21898
300,1.52883,29834
400,2.28473,41623
500,6.4131,235950
600,3.96503,93076
700,4.3703,87094
800,5.54297,139029
900,16.8481,673794
1000,10.9647,392874
1100,6.80167,135561
1200,10.5877,298048
1300,8.9916,203555
1400,15.5918,508751
1500,24.2902,918218
1600,10.9111,240877
1700,16.3529,491577
1800,19.874,630378
1900,21.4573,722776
2000,27.0402,987270
2100,28.8504,998200
2200,22.3078,623282
2300,30.6322,1049701
2400,25.7841,785788
2500,29.1664,920059
2600,32.3658,1031246
2700,34.4665,1141321
2800,35.6853,1197423
2900,38.0966,1218701
3000,37.9214,1260146
