Size,Time(ms),Comparisons
100,4.74587,15015
200,8.64567,30358
300,8.03537,25787
400,1.7592,10049
500,13.3055,46589
600,13.7107,48824
700,4.53573,16438
800,5.037,18834
900,38.8565,137279
1000,6.29617,23552
1100,7.04787,25922
1200,49.8481,177658
1300,22.9964,81784
1400,52.3562,186066
1500,41.7047,143868
1600,14.3385,50583
1700,15.9295,57792
1800,51.2122,179687
1900,42.2143,148778
2000,56.211,200242
2100,53.2098,192227
2200,36.532,131628
2300,43.6572,151772
2400,49.5611,169752
2500,55.4254,198340
2600,56.2753,204173
2700,59.9152,215913
2800,60.9791,220396
2900,61.37,223534
3000,61.9892,227738
