Size,Time(ms),Comparisons
100,0.184833,6928
200,0.798433,13710
300,6.0155,21954
400,7.7928,28776
500,10.6003,37751
600,11.9727,42915
700,14.4339,53322
800,16.23,59437
900,19.2388,66320
1000,21.6426,76347
1100,23.7019,83878
1200,24.9417,89349
1300,27.7801,98436
1400,29.7233,106079
1500,32.3278,113373
1600,34.0267,120602
1700,37.4517,128424
1800,38.5179,136120
1900,40.9766,143585
2000,43.7244,151804
2100,45.138,160003
2200,47.2906,166855
2300,50.2373,175467
2400,51.7909,182313
2500,52.6125,190151
2600,55.5558,198216
2700,56.9942,206927
2800,58.9655,213348
2900,60.6443,221451
3000,63.5817,229352
