Size,Time(ms),Comparisons
100,4.4335,15189
200,1.2274,4674
300,1.84543,7067
400,2.0757,8534
500,16.2192,58104
600,6.4675,22575
700,4.4537,16135
800,8.45303,28985
900,38.2181,138005
1000,25.0871,89845
1100,8.28113,31339
1200,18.5495,66735
1300,11.5051,40168
1400,28.9926,105271
1500,51.7508,179503
1600,11.0487,46978
1700,30.3237,102999
1800,36.897,131598
1900,42.385,150459
2000,55.5932,198449
2100,57.3821,203210
2200,38.1343,137741
2300,60.867,207059
2400,48.3948,165249
2500,51.9574,186684
2600,56.8833,204770
2700,58.6727,216260
2800,61.025,220261
2900,62.2357,225502
3000,62.779,227927
