Size,Time(ms),Comparisons
100,6.36553,14896
200,9.02623,30098
300,8.92053,25518
400,3.25663,9630
500,14.4658,46000
600,14.4269,48097
700,4.99387,15398
800,6.03687,17629
900,38.4235,135982
1000,7.8143,22088
1100,8.06693,24300
1200,49.5887,175969
1300,23.5807,80011
1400,53.1929,184139
1500,41.6045,141788
1600,15.5383,48680
1700,17.1078,55845
1800,52.1569,177175
1900,42.4698,146097
2000,57.0559,197445
2100,54.6022,189259
2200,37.5872,128990
2300,43.4832,148913
2400,49.1236,166711
2500,57.2793,194981
2600,58.4502,200786
2700,60.8842,212418
2800,62.7669,216822
2900,65.6098,219927
3000,64.7272,224105
