Size,Time(ms),Comparisons
100,2.67417,6694
200,4.57607,13442
300,7.7662,21922
400,9.62653,28688
500,11.4428,37571
600,12.9281,42675
700,16.1654,52976
800,17.7581,58993
900,19.2322,65809
1000,22.4197,75630
1100,24.5693,82989
1200,25.9429,88351
1300,28.4654,97176
1400,31.2652,104757
1500,34.1289,111883
1600,34.8376,118801
1700,37.1368,126499
1800,38.9383,133982
1900,41.5227,141099
2000,43.9224,149108
2100,45.9343,157121
2200,48.7944,163698
2300,52.3832,172091
2400,52.029,178726
2500,55.8386,186283
2600,56.4105,194110
2700,60.4447,202394
2800,60.47,208711
2900,62.7891,216527
3000,64.8718,224105
