Size,Time(ms),Comparisons
100,5.4619,15050
200,1.43777,4391
300,2.89313,6590
400,3.17303,8005
500,16.7838,57394
600,6.8766,21787
700,4.9148,15055
800,8.7082,27878
900,39.4026,136646
1000,25.6611,88435
1100,9.05347,30057
1200,19.533,65022
1300,12.1955,38253
1400,29.9289,103222
1500,50.314,177300
1600,14.3592,44999
1700,29.9822,100481
1800,37.5874,128937
1900,43.2641,147649
2000,56.387,195631
2100,57.7123,200101
2200,40.2352,134872
2300,69.7973,203700
2400,46.9604,162112
2500,53.8977,183322
2600,59.2211,201179
2700,61.8929,212474
2800,62.9844,216464
2900,64.4182,221706
3000,65.1513,224105
