Size,Time(ms),Comparisons
100,2.94783,75920
200,6.8102,174944
300,6.00267,157158
400,6.18543,174456
500,10.1457,340592
600,10.2565,343285
700,4.7013,120585
800,5.25853,145486
900,32.7604,1303032
1000,4.7045,186848
1100,5.2711,215371
1200,36.3965,1643717
1300,16.6589,655925
1400,38.2712,1736535
1500,27.2621,1310296
1600,26.3494,1202075
1700,41.9669,2072070
1800,33.859,1717495
1900,26.5197,1335575
2000,38.8374,1959828
2100,37.6207,1901044
2200,61.5491,3089727
2300,53.2188,2665893
2400,60.3828,2572962
2500,41.2972,2086214
2600,55.7978,2665458
2700,63.3413,3084342
2800,54.7055,2765149
2900,82.7275,3256022
3000,83.275,4194850
