Size,Time(ms),Comparisons
100,2.67437,77907
200,1.19157,26312
300,1.6932,42873
400,2.18313,54576
500,13.1927,436319
600,5.40247,168032
700,3.10627,116025
800,5.36227,213328
900,27.877,1125877
1000,17.9598,748124
1100,42.0135,1720969
1200,14.084,554254
1300,8.70227,324749
1400,16.9389,849382
1500,37.2012,1560084
1600,30.1529,1501800
1700,17.6806,840590
1800,22.2802,1092431
1900,25.332,1250281
2000,35.8507,1759707
2100,36.7082,1833207
2200,48.1195,2408663
2300,38.2904,1899020
2400,61.6222,3018493
2500,51.2434,2581891
2600,51.531,2510916
2700,41.5199,1981610
2800,49.8154,2440897
2900,70.6233,3500859
3000,82.1142,4148798
