Size,Time(ms),Comparisons
100,0.641733,15025
200,1.31657,30368
300,1.8915,25914
400,1.82133,10142
500,2.73477,46633
600,3.70733,48927
700,3.2248,16466
800,3.85213,18847
900,6.9471,137405
1000,4.86117,23442
1100,6.0106,25971
1200,9.16293,177887
1300,7.55393,82024
1400,10.2319,186400
1500,10.4641,144240
1600,8.23717,51070
1700,8.66233,58191
1800,11.69,179844
1900,13.0339,148960
2000,12.7476,200311
2100,14.0712,192336
2200,13.7054,132041
2300,14.6165,152359
2400,15.2842,170394
2500,16.509,198906
2600,17.0749,204985
2700,17.7481,216735
2800,18.404,221383
2900,18.8736,224466
3000,19.4373,228862
