Size,Time(ms),Comparisons
100,0.527867,6991
200,0.9884,14203
300,1.71473,23122
400,2.19363,30438
500,2.99023,39863
600,3.54113,45455
700,4.17227,56340
800,6.06237,62972
900,5.43897,70217
1000,5.83563,80722
1100,7.09493,88641
1200,8.07663,94570
1300,8.31623,104059
1400,9.4468,112246
1500,9.71607,120002
1600,10.3799,127700
1700,11.1141,135875
1800,11.2159,143998
1900,12.3133,151959
2000,13.141,160529
2100,14.0952,169193
2200,15.3017,176509
2300,15.8548,185542
2400,16.6813,192816
2500,17.1565,201148
2600,18.1368,209608
2700,18.6061,218601
2800,19.1175,225512
2900,19.8334,234051
3000,20.4101,242394
