Size,Time(ms),Comparisons
100,0.670667,15148
200,0.791167,4611
300,1.5203,6934
400,1.71187,8479
500,3.52333,58043
600,3.0246,22468
700,3.30433,15882
800,4.01,28861
900,7.13093,137752
1000,5.94027,89753
1100,5.66783,31149
1200,6.92537,66454
1300,6.8963,39820
1400,8.65977,104888
1500,10.4679,179127
1600,8.10363,46668
1700,9.7822,102608
1800,10.8784,131251
1900,11.8108,150164
2000,13.1408,198239
2100,14.7532,202935
2200,13.9037,137328
2300,15.9594,206609
2400,15.6455,164885
2500,16.6973,186113
2600,17.0455,204162
2700,18.0699,215804
2800,18.8235,219838
2900,19.4321,224981
3000,19.455,227399
