Size,Time(ms),Comparisons
100,0.282233,15261
200,0.587233,30970
300,0.519267,26652
400,0.2584,11063
500,0.923667,48184
600,1.0215,51181
700,0.516533,19901
800,0.694133,22874
900,2.87273,142028
1000,0.8049,29074
1100,0.913867,32322
1200,3.55837,183432
1300,1.89363,88239
1400,4.1646,192692
1500,3.22517,151281
1600,1.76013,57327
1700,1.76503,64604
1800,3.9587,188857
1900,3.33967,159080
2000,4.45453,210802
2100,4.28003,203796
2200,3.2842,140829
2300,3.701,162097
2400,3.864,180812
2500,4.57567,211253
2600,4.6759,217088
2700,5.0638,229373
2800,4.97683,234805
2900,5.19227,238253
3000,5.62793,242456
