Size,Time(ms),Comparisons
100,0.161333,6967
200,0.3476,14318
300,0.485367,23312
400,0.6431,30743
500,0.959833,40557
600,0.953833,45912
700,1.2732,57043
800,1.32287,63488
900,1.56473,71191
1000,1.90673,82817
1100,2.0354,90619
1200,2.08843,95964
1300,2.7125,105943
1400,2.5056,113566
1500,2.792,120883
1600,2.9517,128544
1700,2.9894,137367
1800,3.4708,146820
1900,3.5639,153867
2000,4.00653,162902
2100,3.92593,172754
2200,4.20563,179224
2300,4.31637,189561
2400,4.7085,196995
2500,4.79083,207273
2600,5.05233,213202
2700,5.15393,221562
2800,5.92917,230861
2900,5.9232,236908
3000,6.11837,249226
