Size,Time(ms),Comparisons
100,0.2985,15359
200,0.144833,5234
300,0.2137,8048
400,0.2621,9841
500,1.23633,59936
600,0.5998,24775
700,0.517333,18986
800,1.26517,32621
900,3.2523,142134
1000,2.07317,94219
1100,0.903567,36033
1200,1.61957,72181
1300,1.4852,46652
1400,2.4927,112459
1500,4.0066,188065
1600,1.70187,54883
1700,2.5101,111324
1800,3.26357,140938
1900,3.4335,160971
2000,4.93523,211957
2100,4.8495,216698
2200,3.57747,149020
2300,4.89177,220496
2400,4.24513,179609
2500,4.24293,200193
2600,4.8757,220357
2700,5.1411,232704
2800,5.30003,235466
2900,5.52553,241643
3000,5.61223,244438
